,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
759,521,train,태형 코치는 레모네이드 몇 잔을 샀습니다. 소녀들은 그에게 number0 cent가 들 것이라고 말했습니다. 코치는 소녀들에게 number1 cent를 주었다. 태형 코치는 잔돈 얼마를 받았습니까?,58 75,- number1 number0,17.0,"[32, 33, 2, 6, 14, 15, 16, 22, 23, 24, 31]",3,Subtraction,coach mike bought several cups of lemonade . the girls told him it would cost number0 cents . the coach gave the girls number1 cents .,how much change did coach mike get back ?
760,522,train,남준이와 윤기는 책을 판매했습니다. 그들은 number0 권의 탐정 책과 number1 권의 퍼즐 책을 팔았습니다. 그들은 모두 몇 권의 책을 팔았습니까?,27 15,+ number0 number1,42.0,"[1, 5, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",3,Addition,liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books .,how many books did they sell altogether ?
761,523,train,호석이와 윤기는 오래된 만화책을 판매하기로 결정했습니다. 그들은 모두 number0 권의 만화책을 가지고 있었다. 판매 후 그들은 number1 권의 만화책이 남아 있었다. 호석이와 윤기가 얼마나 많은 만화책을 팔았습니까?,90 25,- number0 number1,65.0,"[1, 2, 34, 35, 5, 36, 7, 8, 12, 13, 14, 15, 23, 24, 25, 26]",3,Subtraction,scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books .,how many comic books did scott and sam sell ?
762,524,train,민영이는 number0 dollar를 절약했습니다. 그녀는 number1 dollar짜리 시계를 사고 싶어합니다. 민영이는 얼마나 더 많은 돈이 필요합니까?,39 55,- number1 number0,16.0,"[1, 3, 4, 13, 14, 15, 21, 22, 23]",3,Subtraction,connie saved up $ number0 . she wants to buy a watch that costs $ number1 .,how much more money does connie need ?
763,525,train,정국이와 지민이는 기어 기계를 조립하고 있습니다. 정국이는 number0 개의 조립 피스를 사용했습니다. 지민이는 number1 개의 조각을 사용했습니다. 그들은 모두 몇 개의 조립 피스를 사용했습니까?,37 45,+ number0 number1,82.0,"[1, 6, 10, 11, 12, 13, 16, 17, 18, 25, 26, 27]",3,Addition,terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces .,how many building pieces did they use altogether ?
764,526,train,스마트 마트는 교육용 장난감을 판매합니다. 그들은 지난주에 number0 개의 과학 키트를 판매했습니다. 과학 키트보다 퍼즐 수가 number1 개 적게 판매했습니다. 스마트 마트는 몇 개의 퍼즐을 팔았습니까?,45 9,- number0 number1,36.0,"[1, 8, 9, 10, 11, 16, 17, 18, 29, 30, 31]",3,Subtraction,the smart mart sells educational toys . they sold number0 science kits last week . the sold number1 fewer puzzles than science kits .,how many puzzles did the smart mart sell ?
765,527,train,"석진이와 태형이는 미니어처 골프를 쳤다. 석진이의 점수는 number0 점, 태형이의 점수는 석진이의 점수보다 number1 점 낮았다. 태형이의 점수는?",62 14,- number0 number1,48.0,"[10, 11, 12, 16, 17, 18, 26, 27, 28]",3,Subtraction,richard and bruno played miniature golf . richard 's score was number0 bruno 's score was number1 points lower than richard 's score .,what was bruno 's score ?
766,528,train,number0 명의 사람들이 아침에 자유의 여신상을 찾았습니다. 오전보다 오후에 number1 명의 사람이 더 찾았습니다. 얼마나 많은 사람들이 오후에 자유의 여신상을 방문했습니까?,35 56,+ number0 number1,91.0,"[0, 1, 2, 3, 32, 33, 11, 12, 13, 31]",3,Addition,number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning .,how many people visited the statue of liberty in the afternoon ?
767,529,train,대관람차는 number0 명을 태울 수 있습니다. number1 명의 사람들이 줄을 서서 기다리고 있습니다. 이번에는 몇 명이 탈 수 없습니까?,56 92,- number1 number0,36.0,"[1, 5, 6, 7, 10, 11, 12, 25, 26, 27]",3,Subtraction,the giant ferris wheel can seat number0 people . there are number1 people waiting in line .,how many people wo n't get on the ride this time ?
768,530,train,"남준이와 윤기는 number0 일 자전거 경기를 마쳤습니다. 그들은 첫날 number1 mile을 탔고, 둘째 날 number2 mile을 탔다. 그들은 모두 몇 mile을 탔습니까?",2 37 55,+ number1 number2,92.0,"[1, 4, 5, 6, 8, 10, 11, 12, 17, 18, 19, 28, 29, 30]",3,Addition,erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day .,how many miles did they ride altogether ?
769,531,train,호석이는 number0 dollar의 스쿠터를 사고 싶어합니다. 호석이는 지금까지 number1 dollar를 저축했습니다. 호석이에게 얼마나 더 많은 돈이 필요합니까?,90 57,- number0 number1,33.0,"[2, 5, 6, 7, 12, 13, 14, 21, 22, 23]",3,Subtraction,greg wants to buy a $ number0 scooter . he has saved $ number1 so far .,how much more money does greg need ?
770,532,train,정국이는 number0 개의 축구 카드를 가지고 있습니다. 친구 지민이는 number1 개의 카드를 가지고 있습니다. 정국이가 몇 개나 적게 가지고 있습니까?,18 32,- number1 number0,14.0,"[1, 2, 3, 4, 6, 9, 10, 11, 17, 18, 19]",3,Subtraction,chris has number0 soccer cards . his friend charlie has number1 cards .,how many fewer cards does chris have ?
771,533,train,number0 명의 캠퍼들은 아침에 노를 저었습니다. number1 명의 캠퍼들은 오후에 노를 저었습니다. 노를 저은 캠퍼들은 모두 몇 명입니까?,35 27,+ number0 number1,62.0,"[0, 1, 2, 4, 5, 8, 9, 20, 21, 22]",3,Addition,number0 campers went rowing in the morning . number1 campers went rowing in the afternoon .,how many campers went rowing in all ?
772,534,train,민영이는 number0 dollar를 가지고 식료품점에 갔습니다. 쇼핑 후 number1 dollar가 남았습니다. 민영이는 얼마를 사용했습니까?,70 16,- number0 number1,54.0,"[8, 9, 12, 13, 14, 15, 22, 23, 24]",3,Subtraction,mrs. griffin went to the grocery store with $ number0 . she had $ number1 left after shopping .,how much did mrs. griffin spend ?
773,535,train,도서관에는 number0 권의 과학 책이 있습니다. 2학년 학생들은 그 중 number1 권을 빌 렸습니다. 몇 권의 과학 책이 남아 있습니까?,75 18,- number0 number1,57.0,"[1, 2, 3, 4, 5, 10, 11, 12, 18, 19, 20]",3,Subtraction,the library has number0 science books . the second graders borrowed number1 of them .,how many science books are left ?
774,536,train,와일드캣 팀은 경기 전반전에서 number0 점을 기록했습니다. 팬더 팀은 number1 포인트를 득점했습니다. 와일드캣 팀이 몇 점 더 많이 얻었습니까?,36 17,- number0 number1,19.0,"[1, 2, 3, 4, 7, 15, 16, 17, 24, 25, 26]",3,Subtraction,the wildcats scored number0 points in the first half of the game . the panthers scored number1 points .,how many more points did the wildcats score ?
775,537,train,유정이와 은지는 함께 몸무게를 쟀습니다. 저울이 number0 pound였습니다. 유정이는 자신의 몸무게가 number1 pound라는 것을 알고 있습니다. 은지의 몸무게는 얼마입니까?,95 46,- number0 number1,49.0,"[2, 3, 11, 12, 13, 18, 19, 20, 24, 25, 26]",3,Subtraction,alexa and katerina stood on a scale together . the scale read number0 pounds . alexa knows she weighs number1 pounds .,how much does katerina weigh ?
776,538,train,은지와 유나는 줄넘기 대회에 참가했습니다. 은지는 실수없이 number0 번 점프했습니다. 은지는 유나보다 number1 번 덜 뛰었습니다. 유나는 몇 번이나 점프했습니까?,53 18,+ number0 number1,71.0,"[1, 3, 5, 11, 12, 13, 18, 19, 20, 21, 28, 29, 30]",3,Addition,frannie and meg are in a jump rope contest . frannie jumped number0 times without missing . she jumped number1 fewer times than meg .,how many times did meg jump ?
777,539,train,number0 숫자 차이는 number1 이 더 작은 숫자는 number2 입 제일 큰 숫자는 무엇입니까?,2 24 46,+ number2 number1,70.0,"[2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16]",3,Addition,the difference between number0 numbers is number1 the smaller number is number2 what,is the larger number ?
778,540,train,수수께끼 숫자에 number0 을 추가하면 number1 이 나옵니다. 수수께끼 숫자는 몇 입니까?,45 92,- number1 number0,47.0,"[2, 3, 4, 10, 11, 12, 14, 15, 16]",3,Subtraction,if you add number0 to a mystery number you will get number1 what,is the mystery number ?
779,541,train,정국이와 은지는 모두 number0 dollar를 가지고 있습니다. 정국이는 number1 dollar가 있습니다. 은지는 얼마를 가지고 있습니까?,91 38,- number0 number1,53.0,"[1, 3, 4, 5, 6, 10, 11, 14, 15, 16]",3,Subtraction,sam and erica have $ number0 together . sam has $ number1 .,how does erica have ?
780,542,train,유나는 number0 inch의 리본을 샀습니다. 선물을 포장하기 위해 number1 inch를 사용했습니다. 유나가 남은 리본은 얼마입니까?,84 46,- number0 number1,38.0,"[1, 2, 3, 8, 9, 10, 19, 20, 21]",3,Subtraction,wendy bought number0 inches of ribbon . she used number1 inches to wrap presents .,how much ribbon did wendy have left ?
781,543,train,메뚜기와 개구리는 점프 대회를 가졌습니다. 메뚜기는 number0 inch를 뛰어 넘었습니다. 개구리는 메뚜기보다 number1 inch 더 멀리 뛰었습니다. 개구리는 얼마나 멀리 뛰었습니까?,25 15,+ number0 number1,40.0,"[12, 13, 14, 18, 19, 20, 29, 30, 31]",3,Addition,the grasshopper and the frog had a jumping contest . the grasshopper jumped number0 inches . the frog jumped number1 inches farther than the grasshopper .,how far did the frog jump ?
782,544,train,지민이와 아버지는 딸기 따기를 갔습니다. 함께 딴 딸기 무게는 number0 pound 였습니다. 지민이의 딸기의 무게는 number1 pound 였습니다. 아버지의 딸기의 무게는 얼마입니까?,23 14,- number0 number1,9.0,"[3, 11, 12, 13, 18, 19, 20, 27, 28, 29]",3,Subtraction,marco and his dad went strawberry picking . together their strawberries weighed number0 pounds . marco 's strawberries weighed number1 pounds .,how much did his dad 's strawberries weigh ?
783,545,train,석진는 빨간색 바운스볼 number0 개와 노란색 바운스볼 number1 개를 샀다. 각 패키지에는 number2 개의 바운스볼이 들어 있습니다. 석진이가 샀던 노란색 바운스볼보다 빨간색 바운스볼이 몇 개 더 있습니까?,4 3 7,- number0 number1,1.0,"[1, 2, 3, 4, 5, 6, 35, 8, 9, 10, 36, 12, 13, 14, 16, 18, 19, 20, 21, 37]",5,Difference,miki bought number0 packs of red bouncy balls and number1 packs of yellow bouncy balls . each package contained number2 bouncy balls .,how many more packs of red bouncy balls than yellow bouncy balls did miki buy ?
784,546,train,태형이는 number0 개의 크레용을 가지고 있습니다. 남준이는 number1 개의 크레용을 가지고 있습니다. 태형이는 남준이보다 크레용을 몇 개 더 가지고 있습니까?,5092 3971,- number0 number1,1121.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",5,Difference,willy has number0 crayons . lucy has number1 crayons .,how many more crayons does willy have than lucy ?
785,547,train,의료 실험실 직원이 혈액 샘플을 연구하고 있습니다. 첫 번째 샘플에는 number0 개의 혈액 세포가 포함되어 있습니다. 두 번째 number1 은 첫 번째 보다 number2 개 더 많이 포함되어 있습니다. 두 번째 샘플에는 몇 개의 혈액 세포가 있었습니까?,1410 1 6908,+ number0 number2,8318.0,"[2, 3, 36, 37, 38, 9, 14, 15, 16, 17, 20, 21, 22, 23, 24]",4,Addition,a worker at a medical lab is studying blood samples . the first sample contained number0 blood cells . the second number1 contained number2 more than the first .,about how many blood cells were in the second sample ?
786,548,train,여름 방학 동안 number0 명의 아이들은 캠프에 가고 다른 number1 번 아이들은 집에 있었습니다. 모두 몇 명의 아이들이 있습니까?,564237 495718,+ number0 number1,1059955.0,"[2, 3, 4, 7, 8, 13, 14, 15, 16, 24, 25, 26]",4,Addition,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home .,about how many kids are in lawrence county ?
787,549,train,최근 우체국은 유명한 사람들이 그려진 우표를 팔았습니다. number0 개의 컬러 스탬프 뿐만 아니라 number1 개 흑백 number2 개를 판매했습니다. 우표를 몇 개나 팔았습니까?,578833 523776 1,+ number0 number1,1102609.0,"[1, 4, 14, 15, 16, 17, 18, 20, 21, 22, 23, 29, 30, 31]",4,Addition,recently the postal service sold stamps with famous people pictured on them . they sold number0 color stamps as well as number1 black-and-white number2 .,about how many stamps did they sell ?
788,550,train,민영이는 number0 개를 복숭아를 가지고 있습니다. 호석이는 number1 개의 복숭아를 가지고 있습니다. 민영이의 복숭아와 호석이의 복숭아는 몇 개 차이가 납니까?,26 48,- number1 number0,22.0,"[1, 2, 3, 6, 7, 8, 22, 23, 24]",1,Difference,audrey has number0 peaches . paul has number1 peaches .,what 's the difference of the number of audrey 's peaches and paul 's peaches ?
789,551,train,은지는 number0 개의 자두가 있습니다. 유나는 number1 개의 자두가 있습니다. 은지와 유나의 자두는 몇 개 차이입니까?,7 10,- number1 number0,3.0,"[1, 2, 3, 6, 7, 8, 22, 23, 24]",1,Difference,sharon has number0 plums . allan has number1 plums .,what 's the difference of the number of sharon 's plums and allan 's plums ?
790,552,train,"당신은 number0 개의 풍선을 가지고 있고, 친구는 number1 개 풍선을 가지고 있습니다. 당신의 풍선의 수와 친구의 풍선은 몇 개 차이납니까?",7 5,- number0 number1,2.0,"[1, 2, 3, 7, 8, 9, 23, 24, 25]",1,Difference,you have number0 balloons and your friend has number1 balloons .,what 's the difference of the number of your balloons and your friend 's balloons ?
791,553,train,number0 마리의 새와 number1 개의 둥지가 있습니다. 새와 둥지는 몇 개나 차이 납니까?,6 3,- number0 number1,3.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20]",1,Difference,there are number0 birds and number1 nests .,what 's the difference of the number of birds and nests over there ?
